"journal","n","journal_match_text.x","Rank","Sourceid","Title","Type","Issn","SJR","SJR Best Quartile","H index","Total Docs. (2023)","Total Docs. (3years)","Total Refs.","Total Cites (3years)","Citable Docs. (3years)","Cites / Doc. (2years)","Ref. / Doc.","%Female","Overton","SDG","Country","Region","Publisher","Coverage","Categories","Areas","journal_match_text.y","match_fit"
"",92144,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"'Honour' Killing and Violence",1,"honour killing and violence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"(CLEO). Conference on Lasers and Electro-Optics, 2005.",17,"cleo conference on lasers and electrooptics 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"(JIML) JOURNAL OF INNOVATIVE MATHEMATICS LEARNING",1,"jiml journal of innovative mamatics learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"(JOINTS) Journal Orthopaedi and Traumatology Surabaya",1,"joints journal orthopaedi and traumatology surabaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"(Re)Discovering University Autonomy",1,"rediscovering university autonomy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"(Un)masking the Realities of Power",1,"unmasking realities of power",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"10 years of the LLAS elearning symposium: case studies in good practice",1,"10 years of llas elearning symposium case studies in good practice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"10th Annual North American Waste-to-Energy Conference",1,"10th annual north american wastetoenergy conference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"10th International Scientific Conference “Business and Management 2018”",1,"10th international scientific conference business and management 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"10th International Symposium on Electromagnetic Compatibility",1,"10th international symposium on electromagnetic compatibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"11th EAD Conference Proceedings: The Value of Design Research",3,"11th ead conference proceedings value of design research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"11th International Conference on Electrical Power Quality and Utilisation",1,"11th international conference on electrical power quality and utilisation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"11th International Conference on Parallel and Distributed Systems (ICPADS'05)",1,"11th international conference on parallel and distributed systems icpads05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"11th International Conference on the European Energy Market (EEM14)",8,"11th international conference on european energy market eem14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"11th LUMEN International Scientific Conference Communicative Action & Transdisciplinarity in the Ethical Society, CATES 2018, 23-24 November 2018, Targoviste, Romania",1,"11th lumen international scientific conference communicative action transdisciplinarity in ethical society cates 2018 2324 november 2018 targoviste romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"11th Symposium on Neural Network Applications in Electrical Engineering",1,"11th symposium on neural network applications in electrical engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"12th Symposium on Neural Network Applications in Electrical Engineering (NEUREL)",1,"12th symposium on neural network applications in electrical engineering neurel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"13th IEEE International Workshop on Software Technology and Engineering Practice (STEP'05)",1,"13th ieee international workshop on software technology and engineering practice step05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"14th Annual North American Waste-to-Energy Conference",1,"14th annual north american wastetoenergy conference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"14th Conference of Open Innovation Association FRUCT",1,"14th conference of open innovation association fruct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"14th International Workshop Research Issues on Data Engineering: Web Services for e-Commerce and e-Government Applications, 2004. Proceedings.",1,"14th international workshop research issues on data engineering web services for ecommerce and egovernment applications 2004 proceedings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"14th International Workshop on Database and Expert Systems Applications, 2003. Proceedings.",1,"14th international workshop on database and expert systems applications 2003 proceedings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"16. mezinárodní kolokvium o regionálních vědách. Sborník příspěvků. (16th International Colloquium on Regional Sciences. Conference Proceedings.)",1,"16 mezinárodní kolokvium o regionálních vědách sborník příspěvků 16th international colloquium on regional sciences conference proceedings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"16th Electrical Power Distribution Conference",1,"16th electrical power distribution conference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"16th IEEE Symposium Computer-Based Medical Systems, 2003. Proceedings.",2,"16th ieee symposium computerbased medical systems 2003 proceedings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"16th International Conference and Exhibition on Electricity Distribution (CIRED 2001)",1,"16th international conference and exhibition on electricity distribution cired 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"16th Opto-Electronics and Communications Conference",1,"16th optoelectronics and communications conference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"17th IEEE International Conference on Micro Electro Mechanical Systems. Maastricht MEMS 2004 Technical Digest",1,"17th ieee international conference on micro electro mechanical systems maastricht mems 2004 technical digest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"17th International Congress of Metrology",1,"17th international congress of metrology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"18th European Microelectronics & Packaging Conference",1,"18th european microelectronics packaging conference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"18th IEEE Symposium on Computer-Based Medical Systems (CBMS'05)",2,"18th ieee symposium on computerbased medical systems cbms05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"18th International Conference and Exhibition on Electricity Distribution (CIRED 2005)",5,"18th international conference and exhibition on electricity distribution cired 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"18th International Parallel and Distributed Processing Symposium, 2004. Proceedings.",1,"18th international parallel and distributed processing symposium 2004 proceedings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1st INTERNATIONAL CONFERENCE ON BUSINESS MANAGEMENT - “NEW CHALLENGES IN BUSINESS RESEARCH"""""""" - Conference proceedings",4,"1st international conference on business management new challenges in business research conference proceedings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1st Portuguese Biomedical Engineering Meeting",1,"1st portuguese biomedical engineering meeting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1st Transdisciplinary Conference on Distributed Diagnosis and Home Healthcare, 2006. D2H2.",1,"1st transdisciplinary conference on distributed diagnosis and home healthcare 2006 d2h2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"20 Century British History",1,"20 century british history",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"20 Years of EUROCALL: Learning from the Past, Looking to the Future",1,"20 years of eurocall learning from past looking to future",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
