"paper_id","year","outbound_citations","inbound_citations"
159350887,2018,0,0
159352431,2014,0,0
159355456,2018,0,0
18980463,2007,51,31
18981358,2014,58,19
18982114,2007,13,12
18982341,2009,21,15
18982460,2016,7,1
18982781,2008,6,2
18985891,2015,41,0
18987532,2004,45,1
18987535,2008,25,0
18988046,2013,27,6
18988104,2006,33,71
18989187,2011,29,37
18989350,2015,58,0
18989559,2010,2,4
18989842,2014,18,8
199661892,2019,48,0
199662866,2019,26,0
199667938,2019,21,0
199668067,2019,52,0
199668440,2019,36,0
2870075,2016,14,1
2870145,2015,52,0
2870252,2001,37,28
2870542,2016,19,8
2871295,2004,62,180
2871678,2005,87,297
2871844,2012,47,43
2871940,2004,2,0
2872580,2010,0,2
2872613,2013,27,25
2872653,2015,38,3
2873489,2008,15,3
2874360,2014,11,4
2874456,2003,6,8
2874531,2015,16,5
2876847,2017,31,0
2877021,2013,80,32
2877272,2016,22,10
2877521,2015,19,6
2878408,2013,66,12
2878772,2006,15,68
2879242,2013,51,0
2879698,2007,39,0
2879848,2007,43,50
213344988,2019,2,0
147010188,2016,0,0
147010337,2016,3,0
164945171,2019,28,2
149771561,2018,25,0
149771926,2017,16,0
149775112,2019,22,0
149777662,2018,6,0
191680764,2019,3,0
17780203,2015,33,0
17781182,2013,84,32
17781311,2001,25,0
17781384,2015,34,7
17782677,2009,68,27
17783165,2007,46,6
17783439,2014,75,9
17784298,2007,29,49
17784659,2006,0,1
17784985,2008,18,8
17786002,2016,25,10
17786458,2009,39,8
17786614,2015,17,0
17788658,2015,46,0
42950429,2003,8,2
42951367,2005,35,2
42952780,2014,0,11
42955080,2003,42,55
8330197,2012,52,5
8330818,2016,38,17
8331057,2015,163,0
8331508,2014,29,9
8331565,2004,15,18
8331927,2014,0,0
8332093,2015,24,5
8332224,2004,3,7
8332850,2015,0,17
8332928,2005,2,3
8333821,2013,27,6
8334260,2004,7,1
8336388,2004,10,3
8337224,2013,30,13
8337318,2008,0,40
8337987,2016,39,19
8338948,2011,0,0
8339451,2009,46,7
8339666,2012,18,54
45911744,2010,13,0
45912310,2006,17,7
45914585,2014,18,11
45914828,2005,14,3
41510685,2015,61,12
41512309,2002,13,0
41515024,2010,22,26
41515844,2012,7,3
41517017,2007,24,4
10700179,2015,33,2
10700182,2004,8,101
10700455,2016,64,5
