"iso2c","iso3c","country","date","IP.JRN.ARTC.SC","unit","obs_status","footnote","last_updated","papers","capital_city","longitude","latitude","region_iso3c","region_iso2c","region","admin_region_iso3c","admin_region_iso2c","admin_region","income_level_iso3c","income_level_iso2c","income_level","lending_type_iso3c","lending_type_iso2c","lending_type","papers_estimate","papers_estimate_3yr","data_papers","data_papers_estimate","data_papers_estimate_3yr","data_papers_3yr","data_papers_nomed","data_papers_nomed_estimate","data_papers_nomed_estimate_3yr","data_papers_nomed_3yr","data_papers_Medicine","data_papers_Business","data_papers_Economics","data_papers_Psychology","data_papers_Sociology","data_papers_Political Science","data_papers_3yr_Medicine","data_papers_3yr_Business","data_papers_3yr_Economics","data_papers_3yr_Psychology","data_papers_3yr_Sociology","data_papers_3yr_Political Science","BN.CAB.XOKA.GD.ZS","BX.KLT.DINV.WD.GD.ZS","CC.EST","GE.EST","HD.HCI.LAYS","HD.HCI.OVRL","IQ.SCI.OVRL","IQ.SPI.OVRL","IQ.SPI.PIL1","IQ.SPI.PIL2","IQ.SPI.PIL3","IQ.SPI.PIL4","IQ.SPI.PIL5","NE.TRD.GNFS.ZS","NV.AGR.TOTL.ZS","NV.IND.MANF.ZS","NY.GDP.MKTP.PP.KD","NY.GDP.PCAP.PP.KD","PV.EST","RL.EST","RQ.EST","SE.PRM.ENRR","SE.TER.CUAT.MS.ZS","SE.TER.ENRR","SI.POV.DDAY","SI.POV.GINI","SP.POP.TOTL","VA.EST","SP.POP.TOTL_imp_tag","NY.GDP.MKTP.PP.KD_imp_tag","IQ.SPI.OVRL_imp_tag","NY.GDP.PCAP.PP.KD_imp_tag","IQ.SPI.PIL1_imp_tag","IQ.SPI.PIL2_imp_tag","IQ.SPI.PIL3_imp_tag","IQ.SPI.PIL4_imp_tag","IQ.SPI.PIL5_imp_tag","IQ.SCI.OVRL_imp_tag","NV.IND.MANF.ZS_imp_tag","NV.AGR.TOTL.ZS_imp_tag","NE.TRD.GNFS.ZS_imp_tag","HD.HCI.OVRL_imp_tag","HD.HCI.LAYS_imp_tag","SE.PRM.ENRR_imp_tag","BN.CAB.XOKA.GD.ZS_imp_tag","CC.EST_imp_tag","GE.EST_imp_tag","PV.EST_imp_tag","RQ.EST_imp_tag","RL.EST_imp_tag","VA.EST_imp_tag","BX.KLT.DINV.WD.GD.ZS_imp_tag","SI.POV.DDAY_imp_tag","SI.POV.GINI_imp_tag","SE.TER.CUAT.MS.ZS_imp_tag","SE.TER.ENRR_imp_tag","WGI.OVL","SPI.INDEX.PIL1","SPI.INDEX.PIL2","SPI.INDEX.PIL3","SPI.INDEX.PIL4","SPI.INDEX.PIL5","SPI.INDEX","SPI.DIM1.5.INDEX","SPI.DIM2.1.INDEX","SPI.DIM2.2.INDEX","SPI.DIM2.4.INDEX","SPI.DIM3.1.INDEX","SPI.DIM3.2.INDEX","SPI.DIM3.3.INDEX","SPI.DIM3.4.INDEX","SPI.DIM4.1.CEN.INDEX","SPI.DIM4.1.SVY.INDEX","SPI.DIM4.2.INDEX","SPI.DIM4.3.INDEX","SPI.DIM5.1.INDEX","SPI.DIM5.2.INDEX","SPI.DIM5.5.INDEX","SPI.D1.5.POV","SPI.D1.5.CHLD.MORT","SPI.D1.5.DT.TDS.DPPF.XP.ZS","SPI.D1.5.SAFE.MAN.WATER","SPI.D1.5.LFP","SPI.D2.1.GDDS","SPI.D2.2.Machine.readable","SPI.D2.2.Non.proprietary","SPI.D2.2.Download.options","SPI.D2.2.Metadata.available","SPI.D2.2.Terms.of.use","SPI.D2.2.Openness.subscore","SPI.D2.4.NADA","SPI.D3.1.POV","SPI.D3.2.HNGR","SPI.D3.3.HLTH","SPI.D3.4.EDUC","SPI.D3.5.GEND","SPI.D3.6.WTRS","SPI.D3.7.ENRG","SPI.D3.8.WORK","SPI.D3.9.INDY","SPI.D3.10.NEQL","SPI.D3.11.CITY","SPI.D3.12.CNSP","SPI.D3.13.CLMT","SPI.D3.15.LAND","SPI.D3.16.INST","SPI.D3.17.PTNS","SPI.D4.1.1.POPU","SPI.D4.1.2.AGRI","SPI.D4.1.3.BIZZ","SPI.D4.1.4.HOUS","SPI.D4.1.5.AGSVY","SPI.D4.1.6.LABR","SPI.D4.1.7.HLTH","SPI.D4.1.8.BZSVY","SPI.D4.2.3.CRVS","SPI.D4.3.GEO.first.admin.level","SPI.D5.1.DILG","SPI.D5.2.1.SNAU","SPI.D5.2.2.NABY","SPI.D5.2.3.CNIN","SPI.D5.2.4.CPIBY","SPI.D5.2.5.HOUS","SPI.D5.2.6.EMPL","SPI.D5.2.7.CGOV","SPI.D5.2.8.FINA","SPI.D5.2.9.MONY","SPI.D5.2.10.GSBP","SPI.D5.5.DIFI"
"AW","ABW","Aruba",2018,NA,NA,NA,NA,"2023-10-26",2,"Oranjestad",-70.0167,12.5167,"LCN","ZJ","Latin America & Caribbean",NA,NA,NA,"HIC","XD","High income","LNX","XX","Not classified",18.181818181818183,18.181818181818183,2,18.181818181818183,18.181818181818183,2,1,9.090909090909092,6.060606060606061,0.6666666666666666,1,0,0,1,0,0,1.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,-0.449837908204593,4.14876025000987,1.2074294090271,1.01347315311432,NA,NA,NA,NA,60,NA,18.45,NA,NA,145.213284414233,0.0222530069695395,3.22501490354643,4313368560.44231,40706.7492161559,1.33727550506592,1.2594119310379,0.846328258514404,115.184593200684,NA,18.4336795806885,NA,NA,105962,1.28269290924072,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1.1577685276667273,60,NA,18.450000000000003,NA,NA,NA,0.6,0.5,NA,NA,0.118,0.20733333333333337,0.278,0.222,NA,NA,1,NA,-99,NA,-99,1,0,1,1,0,0.5,NA,NA,NA,NA,NA,NA,NA,0.143,0.125,0.091,0.182,0,0.167,0.8,0.083,0.111,0,0,0.25,0,0.556,0.111,0.333,1,0,NA,NA,NA,0,NA,NA,1,NA,NA,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF","AFG","Afghanistan",2018,87.7,NA,NA,NA,"2023-10-26",32,"Kabul",69.1761,34.5228,"SAS","8S","South Asia","SAS","8S","South Asia","LIC","XM","Low income","IDX","XI","IDA",290.90909090909093,293.93939393939394,22,200,203.030303030303,22.333333333333332,6,54.54545454545455,48.48484848484849,5.333333333333333,16,1,3,0,0,2,17,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.3333333333333333,-21.1567791326351,0.648439172766145,-1.50288057327271,-1.50134539604187,4.94978761672974,0.393489241600037,50,49.845,70,59.9,68.75,15.575,35,NA,22.0428967527575,6.16017721650239,75600418108.8303,2060.69897292797,-2.75326204299927,-1.68858671188354,-1.13820362091064,107.780532836914,NA,9.96378993988037,NA,NA,36686784,-1.00705206394196,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-1.5985550681749985,70,59.9,68.75,15.575,35,49.845,0.7,0.5,0.297,1,0.6930000000000001,0.6125,0.9445,0.639,0,0.466,0,0.157,-99,0.35,-99,0,1,1,1,0.5,0.5,0.198,0.7290000000000001,0.179,0.38,0,0.297,1,0.714,0.889,0.8,0.455,0.5,0.8,0.933,0.417,0.375,0.4,0.8,0.75,1,0.889,0.778,0.5,0,0,0,1,0,0.33,1,0,0,0.157,NA,0.5,0,0,0,1,0,0.5,0.5,1,0,NA
"AO","AGO","Angola",2018,28.88,NA,NA,NA,"2023-10-26",10,"Luanda",13.242,-8.81155,"SSF","ZG","Sub-Saharan Africa","SSA","ZF","Sub-Saharan Africa (excluding high income)","LMC","XN","Lower middle income","IBD","XF","IBRD",90.9090909090909,81.81818181818181,8,72.72727272727273,60.6060606060606,6.666666666666667,1,9.090909090909092,15.15151515151515,1.6666666666666667,7,0,0,0,0,1,5,0,1,0,0.3333333333333333,0.3333333333333333,9.51578137262661,-8.29905135606258,-1.19925093650818,-1.00511503219604,4.23497772216797,0.360190957784653,42.2222333333333,55.2320833333333,80,57.3,69.99375,28.8666666666667,40,66.3780133263399,8.60774180183334,6.05946923337998,215117812148.692,6878.59002526807,-0.347750902175903,-1.00093221664429,-0.8006831407547,88.5748672485352,NA,9.35254287719727,31.1,51.3,31273533,-0.903365194797516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.8761829038461048,80,57.3,69.99375,28.866666666666667,40,55.232083333333335,0.8,0.5,0.21899999999999997,1,0.7045,0.6593333333333333,0.9445,0.5635,0.6666666666666666,0.466,0,0.022,-99,0.4,-99,0.5,1,1,1,0.5,0.5,0.076,0.546,0.221,0.254,0,0.21899999999999997,1,0.857,0.778,0.714,0.545,0.5,0.833,0.933,0.417,0.556,0.5,0.8,0.75,1,0.889,0.556,0.571,1,0,1,1,0,0,1,0.33,0,0.022,NA,0.5,0,1,0.5,1,0,0,0,1,0,NA
"AL","ALB","Albania",2018,168.55,NA,NA,NA,"2023-10-26",9,"Tirane",19.8172,41.3317,"ECS","Z7","Europe & Central Asia","ECA","7E","Europe & Central Asia (excluding high income)","UMC","XT","Upper middle income","IBD","XF","IBRD",81.81818181818181,151.5151515151515,4,36.36363636363637,106.06060606060606,11.666666666666666,3,27.272727272727273,66.66666666666667,7.333333333333333,1,2,1,0,0,0,4.333333333333333,1,4.666666666666667,1,0.3333333333333333,0.3333333333333333,-6.7049216613506,7.94635567518757,-0.545840263366699,0.0806501731276512,8.85139560699463,0.62866628170013406,82.2222333333333,77.5966666666667,100,69.7666666666667,73.775,59.4416666666667,85,76.8081841283291,18.4294953023634,6.13329355982411,38171871046.5525,13317.1192636809,0.366642981767654,-0.414187848567963,0.256079822778702,107.403678894043,12.3307304382324,56.6088714599609,0,30.1,2866376,0.188694432377815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.011326783647139965,100,69.76666666666667,73.77499999999999,59.44166666666667,85,77.59666666666666,1,0.5,0.593,1,0.783,0.6611666666666667,0.9445,0.625,0.6666666666666666,0.534,1,0.177,-99,0.85,-99,1,1,1,1,1,0.5,0.804,0.933,0.7170000000000001,0.509,0,0.593,1,0.714,0.9,0.857,0.727,0.5,1,0.8,0.5,0.5,0.75,0.667,0.75,1,0.889,0.667,0.583,1,1,0,1,0,1,0.67,0,1,0.177,NA,1,1,1,0.5,1,0,1,1,1,1,NA
"AD","AND","Andorra",2018,3.29,NA,NA,NA,"2023-10-26",1,"Andorra la Vella",1.5218,42.5075,"ECS","Z7","Europe & Central Asia",NA,NA,NA,"HIC","XD","High income","LNX","XX","Not classified",9.090909090909092,6.060606060606061,0,0,3.0303030303030307,0.3333333333333333,0,0,3.0303030303030307,0.3333333333333333,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,18.0104704752285,NA,1.17916560173035,1.87926542758942,NA,NA,NA,NA,60,NA,26.1,NA,NA,NA,0.546367882815281,3.61028448557391,NA,NA,1.39100873470306,1.53662586212158,1.18732905387878,89.6744766235352,10.8690099716187,15.3940296173096,NA,NA,75013,1.04732167720795,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1.3701193928718567,60,NA,26.1,NA,NA,NA,0.6,0,NA,NA,0.24133333333333337,0.22866666666666663,0.3335,0.34450000000000003,0.3333333333333333,0.4,1,NA,-99,NA,-99,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0.55,0.273,0.125,0.5,0.6,0.077,0.111,0.167,0.167,0.25,0,0.667,0.556,0.133,1,0,0,1,0,1,0,0,1,NA,NA,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE","ARE","United Arab Emirates",2018,2996.8,NA,NA,NA,"2023-10-26",16,"Abu Dhabi",54.3705,24.4764,"MEA","ZQ","Middle East & North Africa",NA,NA,NA,"HIC","XD","High income","LNX","XX","Not classified",145.45454545454547,151.51515151515153,15,136.36363636363637,136.36363636363637,15,6,54.54545454545455,66.66666666666667,7.333333333333333,9,3,2,0,0,1,7.666666666666667,1.6666666666666667,3.6666666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666,NA,2.43186975978915,1.11653625965118,1.42625665664673,9.71706390380859,0.676001250743866,NA,59.2566666666667,100,36.8666666666667,41.825,52.5916666666667,65,157.920573132687,0.711464002250805,8.92578979196381,653984158638.428,71550.5543320291,0.689086735248566,0.77433305978775,0.919854760169983,111.890777587891,10.0739097595215,46.4808311462402,0,26,9140169,-1.12270367145538,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.633893966674805,100,36.86666666666667,41.825,52.59166666666667,65,59.25666666666667,1,0.5,0.606,0,0.43433333333333335,0.44583333333333336,0.222,0.4835,0.6666666666666666,0.2,1,0.237,-99,0.65,-99,1,1,1,1,1,0.5,0.7559999999999999,0.7559999999999999,0.457,0.37799999999999995,0.684,0.606,0,0.286,0.444,0.762,0.364,0.25,0.5,0.8,0.25,0.625,0.333,0.167,0.5,0,0.444,0.667,0.3,1,1,0,0,0,0.67,0.33,0,1,0.237,NA,0.5,0.5,1,0.5,1,0,1,1,1,0,NA
"AR","ARG","Argentina",2018,9090.82,NA,NA,NA,"2023-10-26",65,"Buenos Aires",-58.4173,-34.6118,"LCN","ZJ","Latin America & Caribbean","LAC","XJ","Latin America & Caribbean (excluding high income)","UMC","XT","Upper middle income","IBD","XF","IBRD",590.9090909090909,596.969696969697,58,527.2727272727273,478.78787878787875,52.666666666666664,8,72.72727272727273,90.90909090909092,10,50,1,6,1,0,0,42.666666666666664,1.3333333333333333,6,0.3333333333333333,1.3333333333333333,1,-5.16055251029552,2.23253155040464,-0.098668172955513,0.0280940532684326,8.73913383483887,0.61736673116684,81.1111,65.2729166666667,70,79.4666666666667,78.80625,63.0916666666667,35,30.7625359549926,4.53787889681146,14.0601434041581,1012127189427.81,22747.2416575831,0.00680991401895881,-0.219662562012672,-0.195977628231049,111.545608520508,NA,90.9728317260742,0.8,41.3,44494502,0.539418399333954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.010002333903685231,70,79.46666666666667,78.80624999999999,63.09166666666667,35,65.27291666666666,0.7,1,0.384,1,0.7281666666666666,0.8361666666666667,0.9445,0.667,0.6666666666666666,0.732,1,0.125,-99,0.35,-99,0,1,1,0.5,1,1,0.7929999999999999,0.177,0.382,0.5660000000000001,0,0.384,1,1,0.7,0.95,0.636,0.25,0.833,1,0.75,0.667,0.6,1,1,1,0.889,0.667,0.667,1,1,0,1,0.33,1,1,0.33,1,0.125,NA,1,0,0.5,0,1,0,1,0,0,0,NA
"AM","ARM","Armenia",2018,511.55,NA,NA,NA,"2023-10-26",9,"Yerevan",44.509,40.1596,"ECS","Z7","Europe & Central Asia","ECA","7E","Europe & Central Asia (excluding high income)","UMC","XT","Upper middle income","IBD","XF","IBRD",81.81818181818181,84.84848484848486,8,72.72727272727273,63.63636363636363,7,5,45.45454545454545,33.333333333333336,3.6666666666666665,3,1,3,1,0,0,3.3333333333333335,0.6666666666666666,2.3333333333333335,0.3333333333333333,0,0.3333333333333333,-7.22812301766319,2.14204783233813,-0.408891350030899,-0.170385882258415,8.07040977478027,0.58172595500946,93.3333666666667,82.3904166666667,100,84.9666666666667,82.04375,59.9416666666667,85,92.473107021212,13.9423116554146,11.2719184358436,37531708418.9153,13231.4310690444,-0.451120525598526,-0.19733352959156,0.350590288639069,100.061309814453,NA,56.1650505065918,1.3,34.4,2836557,-0.13089439272880601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.16800589859485618,100,84.96666666666665,82.04375,59.94166666666667,85,82.39041666666668,1,1,0.5489999999999999,1,0.8225,0.8096666666666666,0.9445,0.7225,0.6666666666666666,0.6,1,0.131,-99,0.85,-99,1,1,1,1,1,1,0.715,0.746,0.612,0.6709999999999999,0,0.5489999999999999,1,1,0.889,0.952,0.636,0.625,0.833,0.933,0.75,0.625,0.75,0.8,1,1,0.889,0.778,0.667,1,1,0,1,0.33,1,0.67,0,1,0.131,NA,1,1,1,0.5,1,1,0.5,0.5,1,1,NA
"AS","ASM","American Samoa",2018,NA,NA,NA,NA,"2023-10-26",1,"Pago Pago",-170.691,-14.2846,"EAS","Z4","East Asia & Pacific",NA,NA,NA,"HIC","XD","High income","LNX","XX","Not classified",9.090909090909092,3.0303030303030307,1,9.090909090909092,3.0303030303030307,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,NA,NA,1.78090953826904,0.498739510774612,NA,NA,NA,NA,30,NA,19.2875,NA,NA,171.830985915493,NA,13.9280125195618,NA,NA,1.16608023643494,1.29671347141266,-0.306241989135742,NA,NA,NA,NA,NA,48424,1.00476729869843,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0.9068280110756567,30,NA,19.2875,NA,NA,NA,0.3,0,NA,NA,0.11533333333333332,0.15466666666666667,0.5835,0.1495,NA,NA,1,NA,-99,NA,-99,1,0,0,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,0.143,0,0.091,0,0.125,0.333,0.4,0,0.111,0,0.167,0.25,0.5,0.667,0.111,0.188,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG","ATG","Antigua and Barbuda",2018,4.64,NA,NA,NA,"2023-10-26",1,"Saint John's",-61.8456,17.1175,"LCN","ZJ","Latin America & Caribbean",NA,NA,NA,"HIC","XD","High income","IBD","XF","IBRD",9.090909090909092,6.060606060606061,0,0,3.0303030303030307,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,-14.5604850942345,12.7500189811428,0.236239701509476,-0.0534708015620708,8.09348392486572,0.578216969966888,43.3333333333333,NA,20,NA,52.06875,NA,20,135.162967818172,1.73718173593545,2.47641291704363,2022419987.96754,22072.5556934445,0.822919726371765,0.376565635204315,0.401309967041016,112.091682434082,NA,24.93044090271,NA,NA,91626,0.579138517379761,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.3937837909907104,20,NA,52.068749999999994,NA,20,NA,0.2,0.5,NA,0,0.484,0.5508333333333333,0.639,0.422,0.5,0.066,1,NA,-99,0.2,-99,0,0,1,0,0,0.5,NA,NA,NA,NA,NA,NA,0,0.571,0.286,0.8,0.455,0.125,0.667,1,0.25,0.222,0.333,0.5,1,0.5,0.778,0.444,0.4,1,0.5,0,0,0,0,0.33,0,1,NA,NA,0.5,0,0.5,0,0,0,0,0,1,0,NA
