,id,count,docty,docdt,majdocty,colti,display_title,pdfurl,listing_relative_url,url_friendly_title,new_url,guid,url,authors.0.author,authors.1.author,docna.0.docna,entityids.entityid,keywd.0.keywd,abstracts.cdata!,authors.2.author,geo_regions.0.geo_region,geo_regions.1.geo_region,geo_regions.2.geo_region,geo_regions.3.geo_region,geo_regions.4.geo_region,authors.3.author,authors.4.author,geo_regions.5.geo_region,authors.5.author,alt_title.0.alt_title,authors.6.author,geo_regions.6.geo_region,geo_regions.7.geo_region
0,11598837,World,Policy Research Working Paper,2010-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 5163,"""green stimulus,""
            economic recovery, and long-term sustainable development",http://documents.worldbank.org/curated/en/141301468330955009/pdf/WPS5163.pdf,/research/2010/01/11598837/green-stimulus-economic-recovery-long-term-sustainable-development,http://documents.worldbank.org/curated/en/141301468330955009/green-stimulus-economic-recovery-and-long-term-sustainable-development,2010/01/11598837/green-stimulus-economic-recovery-and-long-term-sustainable-development,141301468330955009,http://documents.worldbank.org/curated/en/141301468330955009/green-stimulus-economic-recovery-and-long-term-sustainable-development,"Strand, Jon","Toman, Michael","""green stimulus,"" economic
            recovery, and long-term sustainable development",000158349_20100104121602,"renewable generation;employment
            effect;Environment & Energy;Environment and Natural
            Resources;clean energy investment;resilience to climate
            change;types of energy source;composition of energy
            consumption;effect on long-term growth;renewable energy
            production;carbon emission;renewable energy source;long-term
            economic growth;factor of production;economies of
            scale;classification of items;water sector
            investment;conventional energy sources;improving energy
            efficiency;environmental clean-up;form of
            regulation;favorable growth effect;innovation and
            learning;number of workers;clean energy
            initiative;traditional energy sector;cost of
            supply;reduction in emission;increase in
            expenditure;production of electricity;reduced air
            pollution;Water Resource Management;environmental protection
            policy;renewable energy investment;impact of
            investments;pollution control system;industrial pollution
            control;demand for labor;composition of output;enforcement
            of standards;poor waste management;political economy
            considerations;venture capital investment;building energy
            efficiency;total energy expenditure;propensity of
            household;net job creation;motor fuel tax;hybrid tax
            credit;greenhouse gas mitigation;wind turbine
            manufacturer;production tax credit;efficient resource
            allocation;fossil fuels cause;effect on
            employment;absorption of labor;terms of trade;sustainable
            water resource;high energy price;Natural Resource
            Management;energy efficiency investment;renewable
            production;production cost;environmental cleanup;Fiscal
            policies;fiscal policy;opportunity cost;environmental
            benefit;stimulus package;green investment;public
            support;social return;energy security;Power
            Generation;import share;crisis situation;economic
            recovery;grid expansion;Carbon sequestration;green
            energy;positive impact;","This paper discusses short-run and
            long-run effects of ""green stimulus"" efforts, and
            compares these effects with ""non-green"" fiscal
            stimuli. Green stimulus is defined here as short-run fiscal
            stimuli that also serve a ""green"" or environmental
            purpose in a situation of ""crisis"" characterized
            by temporary under-employment. A number of recently enacted
            national stimulus packages contain sizeable
            ""green"" components. The authors categorize effects
            according to their a) short-run employment effects, b)
            long-run growth effects, c) effects on carbon emissions, and
            d) ""co-benefit"" effects (on the environment,
            natural resources, and for other externalities). The most
            beneficial ""green"" programs in times of crisis are
            those that can stimulate employment in the short run, and
            lead to large ""learning curve"" effects via lower
            production costs in the longer term. The overall assessment
            is that most ""green stimulus"" programs that have
            large short-run employment and environmental effects are
            likely to have less significant positive effects for
            long-run growth, and vice versa, implying a trade-off in
            many cases between short-run and long-run impacts. There are
            also trade-offs for employment generation in that programs
            that yield larger (smaller) employment effects tend to lead
            to more employment gains for largely lower-skilled
            (higher-skilled) workers, so that the long-term growth
            effects are relatively small (large). Ultimately, the
            results reinforce the point that different instruments are
            needed for addressing different problems.",,,,,,,,,,,,,,
1,11599208,World,Policy Research Working Paper,2010-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 5164,"Contrasting future paths for an
            evolving global climate regime",http://documents.worldbank.org/curated/en/964921468331881500/pdf/WPS5164.pdf,/research/2010/01/11599208/contrasting-future-paths-evolving-global-climate-regime,http://documents.worldbank.org/curated/en/964921468331881500/Contrasting-future-paths-for-an-evolving-global-climate-regime,2010/01/11599208/Contrasting-future-paths-for-an-evolving-global-climate-regime,964921468331881500,http://documents.worldbank.org/curated/en/964921468331881500/Contrasting-future-paths-for-an-evolving-global-climate-regime,"Barrett, Scott","Toman, Michael","Contrasting future paths for an evolving
            global climate regime",000158349_20100104141358,"carbon capture and storage;threat of climate
            change;allocation of emission allowances;Environment &
            Energy;risks of climate change;patterns of energy
            use;international climate change agreement;trade
            restriction;international agreement;greenhouse gas
            emission;global climate change;Climate Change
            Policy;international environmental agreement;stratospheric
            ozone depletion;international emission trading;reduction in
            emission;international maritime transport;catastrophic
            climate change;global emission;incentive to save;forest
            cover change;allocation of allowances;emission per
            capita;carbon fuel standard;form of protectionism;extreme
            weather event;burning fossil fuel;global climate system;land
            use change;climate change damage;emission control
            program;climate change problem;level of abatement;cost of
            abatement;abrupt climate change;international development
            institution;cap and trade;international climate
            agreement;international climate policy;transmission and
            distribution;international environmental cooperation;global
            warming potential;global public good;ozone depleting
            chemical;emission of methane;diffusion of
            innovation;development of market;international air
            travel;center for science;pollution from ship;economies of
            scale;level of compliance;mitigating climate change;emission
            limit;broad participation;financial transfer;climate
            regime;Performance Standards;incremental cost;technical
            standard;enforcement mechanism;international cooperation;net
            emission;industrialized country;Industrialized
            countries;international aviation;technology
            performance;individual incentive;separate agreement;ozone
            layer;participating country;direct compensation;emission
            target;burden sharing;carbon emission;capital stock;road
            transport;marine transport;free riding;development
            path;allowance allocation;international
            trading;semiconductor industry;electricity sector;carbon
            intensity;domestic institution;net effect;allowance
            trading;harmonized system;security act;comparative
            assessment;carbon pricing;special interest;cooperative
            agreement;concentration target;domestic law;technology
            development;thermal efficiency;global agreement;nitrous
            oxide;industrial process;wastewater treatment;financial
            resource;fuel efficiency;voluntary efforts;environmental
            economics;hydrogen fuel;vehicle manufacture;co2
            emission;sulfur hexafluoride;resource economics;domestic
            legislation;domestic price;environmental treaty;informal
            mechanism;Environmental Assessment;shadow price;informal
            arrangement;global mitigation;Trade Policies;Trade
            Policy;individual technology;energy cost;maximum extent;game
            theory;Environmental Policy;high emissions;global
            standard;Heat Energy;emission quota;Political
            Economy;rainfall pattern;emissions intensity;market
            trading;ecosystem integrity;domestic emission;environment
            benefit;international meeting;technology upgrading;energy
            policies;longer period;discount rate;national
            sovereignty;vulnerable countries;equity criterion;income
            transfer;price signal;mitigating risk;international
            relations;industrial gases;Electric Power;broad
            agreement;international treaty;total emissions;global
            system;free rider;agricultural impact;international
            emissions;acid production;unilateral action;shared
            benefit;alternative architecture;short period;minimum
            share;sovereign states;trade treaty;international
            cap;simulation model;reference point;full
            participation;temperature change;adjustment cost;national
            stakeholder;transactions cost;technology standard;numerical
            simulation;environmental effectiveness;adequate
            assurance;effective participation;international
            economics;trade leakage;trade ban;coastal state;climate
            treaty;public economics;international equity;trade war;base
            year;emission cap;","This paper explores two different
            conceptions of how an emerging climate regime might evolve
            to strengthen incentives for more vigorous cooperation in
            mitigating global climate change. One is the paradigm that
            has figured most prominently in negotiations to this point:
            the establishment of targets and timetables for countries to
            limit their aggregate greenhouse gas emissions. The other
            approach consists of a variety of loosely coordinated
            smaller scale agreements, each one of which addresses a
            different aspect of the challenge, and is enforced in its
            own way. The primary conclusion is that an agreement of the
            first type may be more cost-effective, but that a system of
            agreements of the second type would likely sustain more
            abatement overall.",,,,,,,,,,,,,,
2,11604392,World,Policy Research Working Paper,2010-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 5165,"Krueger/Schiff/Valdes revisited :
            agricultural price and trade policy reform in developing
            countries since 1960",http://documents.worldbank.org/curated/en/698411468138268794/pdf/WPS5165.pdf,/research/2010/01/11604392/kruegerschiffvaldes-revisited-agricultural-price-trade-policy-reform-developing-countries-1960,http://documents.worldbank.org/curated/en/698411468138268794/Krueger-Schiff-Valdes-revisited-agricultural-price-and-trade-policy-reform-in-developing-countries-since-1960,2010/01/11604392/kruegerschiffvaldes-revisited-agricultural-price-trade-policy-reform-developing-countries-1960,698411468138268794,http://documents.worldbank.org/curated/en/698411468138268794/Krueger-Schiff-Valdes-revisited-agricultural-price-and-trade-policy-reform-in-developing-countries-since-1960,"Anderson, Kym",,"Krueger/Schiff/Valdes revisited :
            agricultural price and trade policy reform in developing
            countries since 1960",000158349_20100105091614,"general agreement on tariffs and trade;farm
            product;food and agriculture organization;gross value of
            production;effective rate of assistance;price elasticity of
            demand;weighted average;multiple exchange rate;per capita
            income;real exchange rate;farmer;international food
            prices;country case study;substitution in
            production;elasticity of supply;fast economic growth;global
            agricultural output;equilibrium exchange rate;level of
            support;restrictions on imports;foreign exchange
            market;fixed exchange rate;dual exchange rate;volume of
            trade;exchange rate movement;agricultural import
            protection;Computable General Equilibrium;effect of
            trade;international trade policy;Exchange rate
            policies;decline in agriculture;exchange rate policy;share
            of employment;agricultural trade policy;overvalued exchange
            rate;economies in transition;agricultural pricing
            policy;undistorted price;urban agricultural policy;domestic
            price;farm production;price distortion;transition
            economy;Transition economies;global economy;agricultural
            incentive;trade measure;foreign currency;economic
            welfare;relative price;price comparison;trade
            tax;agricultural price;farm sector;Trade
            Policies;agricultural product;standard deviation;consumer
            price;consumer tax;nominal rate;import tax;tradable
            sector;input subsidy;Macroeconomic Policy;policy
            regime;advanced economy;farm good;Learning and Innovation
            Credit;farm land;farm price;agricultural producer;farm
            commodity;traded goods;food staple;agricultural
            production;farm policy;welfare effect;border price;farm
            activities;export tax;international market;geographic
            region;domestic value;farm activity;indirect rate;Exchange
            Rates;agricultural sector;comparative advantage;import
            barrier;import subsidy;restricting imports;foreign
            borrowing;trade reduction;world market;export
            agriculture;staple food;agricultural land;large
            subsidy;trend line;external policy;production tax;trade
            restriction;net effect;export barrier;domestic tax;partial
            equilibrium;livestock product;border measure;low-income
            group;protection rate;manufacturing sector;trade
            effect;protection measure;producer price;welfare
            costs;product sample;empirical findings;foreign
            debt;high-income group;domestic consumer;benchmark
            value;export taxation;global market;international
            competitiveness;welfare consequence;welfare
            implication;producer incentive;internationally
            comparable;Socialist economies;market economy;income
            transfer;market intervention;distortionary policies;import
            restriction;tariff equivalent;import competition;domestic
            producer;import tariff;world trade;food product;domestic
            economy;transfer policy;welfare measure;gross
            return;tropical crop;high share;global population;sweet
            potato;sample period;thin market;stochastic model;world
            food;empirical indicator;agricultural good;agricultural
            distortions;protection estimates;global export;trade
            distortion;merchandise trade;agricultural protection;rural
            business;price incentive;global inequality;computational
            assistance;research collaboration;country accounting;global
            output;seminar papers;ad valorem;intermediate input;water
            use;farm input;dollar term;domestic competition;tradable
            good;domestic instability;artificial shortage;seasonal
            condition;data availability;constant dollar;consumption
            value;transfer value;quantitative restriction;gradual
            process;purchase price;government purchase;african
            farmer;equilibrium price;indirect impact;trade datum;dollar
            value;trade status;government intervention;","A study of distortions to
            agricultural incentives in 18 developing countries during
            1960-84, by Krueger, Schiff and Valdes (1988; 1991), found
            that policies in most of those developing countries were
            directly or indirectly harming their farmers. Since the
            mid-1980s there has been a substantial amount of policy
            reform and opening up of many developing countries, and
            indicators of that progress have been made available
            recently by a new study that has compiled estimates for a
            much larger sample of developing countries and for as many
            years as possible since 1955. The new study also covers
            Europes transition economies and comparable estimates for
            high-income countries, thereby covering more than 90 percent
            of world agricultural output and employment. This paper
            summarizes the methodology used in the new study (pointing
            out similarities and differences with those used by the OECD
            and by Krueger, Schiff and Valdes), compares a synopsis of
            the indicators from Krueger, Schiff and Valdes and the new
            study for the period to 1984, summarizes the changing extent
            of price distortions across countries and commodities
            globally since then, and concludes by evaluating the degree
            of distortion reduction over the years since 1984 compared
            with how much still remains, according to the results of a
            global economy wide model.",,,,,,,,,,,,,,
3,11604552,World,Policy Research Working Paper,2010-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 5166,"Trade finance in crisis : should
            developing countries establish export credit agencies ?",http://documents.worldbank.org/curated/en/416331468138269038/pdf/WPS5166.pdf,/research/2010/01/11604552/trade-finance-crisis-developing-countries-establish-export-credit-agencies,http://documents.worldbank.org/curated/en/416331468138269038/Trade-finance-in-crisis-should-developing-countries-establish-export-credit-agencies,2010/01/11604552/Trade-finance-in-crisis-should-developing-countries-establish-export-credit-agencies,416331468138269038,http://documents.worldbank.org/curated/en/416331468138269038/Trade-finance-in-crisis-should-developing-countries-establish-export-credit-agencies,"Chauffour,Jean-Pierre Christophe","Saborowski,Christian","Trade finance in crisis : should developing
            countries establish export credit agencies ?",000158349_20100105093633,"trade finance;Financial Sector;Poverty
            Reduction & Economic Management;export finance;export
            credit insurance;small and medium enterprise;access to
            external finance;strategic trade policy;prudential
            regulation and supervision;financial crisis;business
            model;trade finance markets;exporting firms;public financial
            institution;insurance commitment;trade volume;foreign trade
            sector;development finance institution;volume of
            trade;export credit agencies;Letter of Credit;export credit
            guarantee;export promotion agency;Rule of Law;sovereign debt
            problem;real sector;financial market;market failure;export insurance;","New data on export insurance and
            guarantees suggest that publicly backed export credit
            agencies have played a role to prevent a complete drying up
            of trade finance markets during the current financial
            crisis. Given that export credit agencies are mainly located
            in advanced and emerging economies, the question arises
            whether developing countries that are not equipped with
            these agencies should establish their own agencies to
            support exporting firms and avoid trade finance shortages in
            times of crisis. This paper highlights a number of issues
            requiring attention in the decision whether to establish
            such specialized financial institutions. It concludes that
            developing countries should consider export credit agencies
            only when certain pre-requirements in terms of financial
            capacity, institutional capability, and governance are met.","Soylemezoglu,Ahmet I.",,,,,,,,,,,,,
4,11617936,South Eastern Europe and Balkans,Policy Research Working Paper,2010-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 5167,"Price elasticity of
            nonresidential demand for energy in south eastern Europe",http://documents.worldbank.org/curated/en/459651468299119297/pdf/WPS5167.pdf,/research/2010/01/11617936/price-elasticity-nonresidential-demand-energy-south-eastern-europe,http://documents.worldbank.org/curated/en/459651468299119297/Price-elasticity-of-nonresidential-demand-for-energy-in-south-eastern-Europe,2010/01/11617936/Price-elasticity-of-nonresidential-demand-for-energy-in-south-eastern-Europe,459651468299119297,http://documents.worldbank.org/curated/en/459651468299119297/Price-elasticity-of-nonresidential-demand-for-energy-in-south-eastern-Europe,"Iimi,Atsushi",,"Price elasticity of nonresidential demand
            for energy in south eastern Europe",000158349_20100107101800,"Energy & Environment;price elasticity of
            energy demand;price elasticity of demand;energy information
            administration;increase in energy price;residential demand
            for energy;policy point of view;decline in energy
            consumption;increase in market prices;enterprises in
            transition economies;Electricity;security of energy
            supply;industrial energy demand;quality of public;quality of
            infrastructure;estimation result;production and
            export;industrial electricity price;asset replacement
            cost;residential energy demand;elasticity of
            substitution;consumption per capita;wholesale electricity
            price;quality of energy;retail energy price;system of
            production;unit of output;crude oil price;high energy
            intensity;dollars per barrel;government pricing
            policy;electricity generation capacity;inefficient resource
            allocation;improving energy efficiency;international natural
            gas;energy efficient technology;high energy price;global
            economic crisis;primary energy supply;energy cost
            share;share of labor;global economic slowdown;public utility
            service;factor of production;standard normal
            distribution;electricity production cost;quality of
            water;unit labor costs;amount of electricity;international
            commodity price;energy demand elasticity;country fixed
            effect;per capita consumption;industrial organization
            literature;reduced energy consumption;consumption of
            energy;effect of price;maximum likelihood estimator;domestic
            energy supply;supply of energy;power outage;residential
            electricity;international energy;industrial
            demand;electricity sector;factor share;factor
            demand;electricity service;residential price;factor
            price;infrastructure quality;energy-intensive
            industry;residential tariff;infrastructure service;average
            duration;empirical model;data availability;energy
            shock;price discrimination;input price;energy
            intensities;domestic electricity;energy consumer;price
            change;policy option;exogenous shock;energy
            inefficiency;conditional demand;cost elasticity;supply
            curve;transition economy;cost minimization;empirical
            analysis;economic efficiency;Energy Sector;average
            price;industrial consumer;energy spending;electricity
            intensity;power supply;summary statistic;estimated
            elasticity;elastic demand;transmission capacity;vulnerable
            region;installed capacity;statistical error;supply
            capacity;unit price;financial viability;energy
            alternative;demand response;electricity
            infrastructure;demand function;cheap energy;quality
            measure;public resource;supply cost;Direct
            Subsidies;electricity interruptions;direct subsidy;quality
            service;equilibrium price;standard deviation;product
            quality;quadratic form;electricity outages;positive
            value;telecommunications service;individual
            enterprise;telecommunications sector;supply shock;subjective
            judgment;energy policies;subjective assessment;paper
            industry;potential demand;investment behavior;oil
            crisis;sample mean;market mechanism;statistical
            significance;fuel expenditure;household spending;data
            sampling;equity objective;power service;Real estate;firm
            competitiveness;production level;electricity
            suspension;demand shock;capital price;fuel price;energy
            expenditure;labor intensity;total wage;external
            shock;exogenous reason;subjective view;power station;severe
            drought;industrial price;commercial loss;hydropower
            generation;energy-efficient device;load shedding;hydropower
            plant;electricity consumer;drought year;commercial
            demand;power consumption;chemical manufacturing;energy
            provision;demand behavior;data limitation;inefficient
            firms;world economy;market structure;important policy;market
            reform;real shock;econometric issue;vertical
            line;environmental concern;data issue;literature
            review;supply side;adverse shock;energy source;price
            sensitive;infrastructure demand;demand curve;transition
            country;transition countries;manufacturing sector;political
            decision;previous work;high tariff;energy tariff;industrial
            structure;estimation method;price structure;supply
            condition;building sector;energy crisis;firm level;export
            value;average share;power system","Recent volatility in international
            energy prices has revealed South Eastern Europe as one of
            the most vulnerable regions to such external shocks. Under
            the current global economic downturn, in addition, the
            regions energy-intensive industries are faced with the
            challenge of the weakening demand for their outputs. This
            paper casts light on the relationship between the price and
            the demand for energy. Based on firm level data, it is shown
            that the price elasticity of industrial energy demand is
            about -0.4 on average. There are a number of data issues to
            interpret the results correctly. But Albania and Macedonia
            are systematically found to have a relatively elastic demand
            for energy on the order of -0.7 to -0.8. In these countries,
            therefore, price adjustments would be one of the effective
            policy options to balance demand with supply during the
            period of energy crisis. In other countries, the demand
            response would be much weaker; pricing cannot be the only
            solution. Other policy measures, such as facilitation of
            firm energy efficiency and improvements in the quality of
            infrastructure services, may be required.",,,,,,,,,,,,,,
5,11618030,World,Policy Research Working Paper,2010-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 5168,"Developing countries, dispute
            settlement, and the advisory centre on WTO law",http://documents.worldbank.org/curated/en/469351468336565514/pdf/WPS5168.pdf,/research/2010/01/11618030/developing-countries-dispute-settlement-advisory-centre-wto-law,http://documents.worldbank.org/curated/en/469351468336565514/Developing-countries-dispute-settlement-and-the-advisory-centre-on-WTO-law,2010/01/11618030/developing-countries-dispute-settlement-advisory-centre-wto-law,469351468336565514,http://documents.worldbank.org/curated/en/469351468336565514/Developing-countries-dispute-settlement-and-the-advisory-centre-on-WTO-law,"Bown, Chad P.","McCulloch, Rachel","Developing countries, dispute settlement,
            and the advisory centre on WTO law",000158349_20100107103200,"general agreement on tariffs and
            trade;foreign market access;access to legal service;Trade
            & International Integration;Dispute
            Settlement;development research group;dispute settlement
            process;voluntary export restraint;agreement on
            textiles;economies in transition;intellectual property
            rights;market access opportunities;foreign trade;information
            in table;dispute resolution process;terms of
            trade;middle-income developing countries;dispute settlement
            system;share of export;market access commitment;cost of
            access;trading partner;exporting firms;trade
            restriction;Legal Services;legal assistance;Industrialized
            countries;industrialized country;","Critical appraisals of the current
            and potential benefits from developing country engagement in
            the World Trade Organization (WTO) focus mainly on the Doha
            Round of negotiations. This paper examines developing
            country participation in the WTO dispute settlement system
            to enforce foreign market access rights already negotiated
            in earlier multilateral rounds. The dispute data from 1995
            through 2008 reveal three notable trends: developing
            countries sustained rate of self-enforcement actions
            despite declining use of the Dispute Settlement
            Understanding (DSU) by developed countries, developing
            countries increased use of the DSU to self-enforce their
            access to the markets of developing as well as developed
            country markets, and the prevalence of disputes targeting
            highly observable causes of lost foreign market access, such
            as antidumping, countervailing duties, and safeguards. The
            paper also examines potential impacts of the Advisory Centre
            on WTO Law (ACWL) into the WTO system in 2001. A close look
            at the data reveals evidence on at least three channels
            through which the ACWL may be enhancing developing
            countries' ability to self-enforce foreign market
            access: increased initiation of sole-complainant cases, more
            extensive pursuit of the DSU legal process for any given
            case, and initiation of disputes over smaller values of lost trade.",,,,,,,,,,,,,,
6,11633478,Latin America,Policy Research Working Paper,2010-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 5170,"Social impacts of climate change
            in Chile : a municipal level analysis of the effects of
            recent and future climate change on human development and inequality",http://documents.worldbank.org/curated/en/319821468266372780/pdf/WPS5170.pdf,/research/2010/01/11633478/social-impacts-climate-change-chile-municipal-level-analysis-effects-recent-future-climate-change-human-development-inequality,http://documents.worldbank.org/curated/en/319821468266372780/Social-impacts-of-climate-change-in-Chile-a-municipal-level-analysis-of-the-effects-of-recent-and-future-climate-change-on-human-development-and-inequality,2010/01/11633478/Social-impacts-of-climate-change-in-Chile-a-municipal-level-analysis-of-the-effects-of-recent-and-future-climate-change-on-human-development-and-inequality,319821468266372780,http://documents.worldbank.org/curated/en/319821468266372780/Social-impacts-of-climate-change-in-Chile-a-municipal-level-analysis-of-the-effects-of-recent-and-future-climate-change-on-human-development-and-inequality,"Andersen, Lykke E.","Verner,Dorte","Social impacts of climate change in Chile :
            a municipal level analysis of the effects of recent and
            future climate change on human development and inequality",000158349_20100111132047,"life expectancy;future climate change;impact
            of climate change;average annual temperature;vulnerability
            to climate change;patterns of climate change;life expectancy
            at birth;effect of climate change;impact from climate
            change;cost of climate change;change in income;per capita
            income;effect of temperature;regional climate
            projections;average annual rainfall;change in
            temperature;atmospheric co2 concentration;meteorological
            stations;sea surface temperature;effect on people;average
            temperature change;carbon dioxide concentration;amount of
            precipitation;field crop;environment and development;world
            food production;human development indicator;high growth
            rate;average annual precipitation;average household
            income;Municipalities;explanatory variable;monthly
            temperature;precipitation change;central regions;temperature
            trend;negative relationship;climate model;education
            level;confidence interval;temperature anomaly;cross-section
            data;population group;desert climates;temperature
            increase;physical science;precipitation anomalies;climate
            variable;social impact;global temperature;negative
            effect;current income;municipality level;internal
            migration;equilibrium situation;fertilization
            effect;intermediate level;crop productivity;crop
            science;simulation analysis;water supplies;housing
            subsidy;geographical location;air temperature;Housing
            Policy;spatial distribution;melting glaciers;water flow;cold
            climate;hydroelectric facility;irrigation system;vegetation
            science;biogeochemical cycle;historical data;climatic
            change;spatial inequality;income generation;Exchange
            Rates;climate impact;cool regions;graphical
            representation;income regressions;monthly data;raw data;cold
            winter;seasonal variation;simple regression;health
            index;meteorological data;simple model;temperature
            data;missing data;short period;mountain range;precipitation
            pattern;reduced poverty;poor health;climate stress;net
            effect;spatial variation;oecd countries;empirical
            study;temperature variation;world price;human
            settlement;climatic condition;reduced inequality;health
            outcome;level analysis;sea level;climatic variation;point
            estimate;natural logarithm;population size;historical
            observations;emission abatement;trend analysis;academic
            publishers;increased inequality;global environment;heavy
            rain;grain sorghum;rainy season;","This paper uses municipality level
            data to estimate the general relationship between climate,
            income, and life expectancy in Chile. The analysis finds
            that incomes are negatively related to temperature, while
            life expectancy is not significantly related to average
            temperatures. Both incomes and life expectancy are greater
            in areas with either very little rain or a lot of rain. The
            authors use the estimated relationships to simulate the
            effects of both past (1958-08) and future (2008-58) climate
            change. The findings indicate that past climate change has
            been favorable for the central, and most populous, part of
            Chile, and it has contributed to reduced poverty and reduced
            inequality of health outcomes. Whereas temperatures in the
            past have shown a downward trend for most of the Chilean
            population, climate models suggest that they will increase
            in the future, and that there will be a reduction in
            precipitation in the central part of Chile. The analysis
            simulates the likely effects of these projected climate
            changes over the next 50 years. The findings suggest that
            expected future climate will tend to reduce incomes across
            the whole country, with an average reduction of about 7
            percent, all other things equal.",,,,,,,,,,,,,,
7,11633540,World,Policy Research Working Paper,2010-01-01T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 5172,"Sponsoring a race to the top :
            the case for results-based  intergovernmental finance for
            merit goods",http://documents.worldbank.org/curated/en/949991468323693243/pdf/WPS5172.pdf,/research/2010/01/11633540/sponsoring-race-top-case-results-based-intergovernmental-finance-merit-goods,http://documents.worldbank.org/curated/en/949991468323693243/Sponsoring-a-race-to-the-top-the-case-for-results-based-intergovernmental-finance-for-merit-goods,2010/01/11633540/Sponsoring-a-race-to-the-top-the-case-for-results-based-intergovernmental-finance-for-merit-goods,949991468323693243,http://documents.worldbank.org/curated/en/949991468323693243/Sponsoring-a-race-to-the-top-the-case-for-results-based-intergovernmental-finance-for-merit-goods,"Shah,Anwar M.",,"Sponsoring a race to the top : the case for
            results-based  intergovernmental finance for merit goods",000158349_20100111135808,"lack of access to education;access to health
            care;monitoring and evaluation system;national minimum
            standard;local autonomy;access to primary schooling;free
            flow of good;public sector decision making;Demand for Good
            Governance;merit good;Private School;accountability for
            results;amount of fund;service delivery performance;grant
            funds;full time equivalent;rate of growth;local fiscal
            capacity;education and health;literacy and numeracy;Work
            Program Agreement;ad hoc grant;school age population;public
            service provision;schedule of payment;industrial
            country;equity in access;higher education system;improved
            service delivery;higher education management;impact of
            competition;length of road;higher education finance;quality
            of public;revenue sharing program;data collection
            effort;Local Government Finance;property tax bill;lack of
            competition;higher education financing;model of
            school;accountability to taxpayer;students with
            disability;fund research;competitive service delivery;school
            improvement plan;public insurance system;quality health
            care;place of residence;state education agency;quality of
            teacher;special education finance;Innovation in
            Education;federal revenue sharing;grant criterion;value
            added tax;primary school student;Public Administration
            Reform;bureau of statistic;quality of teaching;land value
            tax;quality of outputs;service delivery framework;service
            delivery standard;asymmetry of information;service delivery
            mechanism;highly qualified teacher;intergovernmental finance
            system;op ed;property tax revenue;Science and Technology;tax
            increment financing;population by age;public sector
            operation;local government boundary;competitive service
            provision;public service delivery;accountable
            governance;school finance;matching grant;university
            finance;public official;fiscal capacities;grant
            program;capital grant;school performance;federal
            government;grant financing;school district;Public
            Services;parental choice;transaction cost;achievement
            score;allocation criterion;fiscal accountability;municipal
            government;budgetary flexibility;charter
            school;accountability framework;Public Goods;high
            poverty;grant system;poor child;Subnational
            Finance;management paradigm;opportunistic
            behavior;transactions cost;Program of Activities;school
            enrollment;incentive regime;rent seeking;accountability
            regime;cost efficiency;pork barrel;audit
            requirements;quality education;private provider;grant
            design;ethnic group;social insurance;student outcome;pupil
            spending;educational service;private good;educational
            practice;school level;street light;moveable asset;business
            service;federal fund;individual taxpayer;federal
            program;state grants;education transfer;ambulatory
            care;grant money;school construction;hospital
            admission;health benefit;federal system;Infrastructure
            Finance;national economy;public ownership;ethnic
            category;bachelor degree;residential service;minimum
            level;education aid;information revolution;radical
            reform;municipal borrowing;personal communication;grant
            recipient;social outcome;redistributive purpose;graduation
            rate;finance budget;rural area;conditional transfer;output
            measures;teacher absenteeism;school financing;financial
            reporting;dropout rate;tuition subsidy;Fiscal
            Equalization;federal transfer;Public Spending;budgetary
            autonomy;working condition;influence peddling;universal
            right;education grant;social assistance;fee schedule;medical
            association;equal footing;demographic data;private
            provision;annual budget;deficit grant;market
            finance;subsidiarity principle;wage grant;tax
            share;budgetary allocation;equalization transfer;public
            education;incentive grant;education component;student
            cost;perverse incentives;research grant;administrative
            expenditure;doctoral dissertation;institutional
            performance;special grant;degree completion;employment
            rate;resident taxpayers;Social Sciences;enrollment
            growth;alternative route;education standard;school
            culture;instructional practice;data bases;private
            management;special instruction","Intergovernmental finance is a
            significant source of sub-national finance in most
            countries. In both industrial and developing countries,
            formula based ""manna from heaven"" general purpose
            transfers dominate but co-exist with highly intrusive
            micro-managed ""command and control"" specific
            purpose transfers. Both these types of transfers undermine
            political and fiscal accountability. Reforms to bring in
            design elements that incorporate incentives for
            results-based accountability are resisted by both donors and
            recipients alike. This is because the donors perceive such
            reforms as attempts at chipping away at their powers and
            recipients fear such programs will be intrusive. This paper
            presents conceptual and practical underpinnings of grant
            designs that could further simplicity, objectivity, and
            local autonomy objectives while furthering citizen-centric
            results-based accountability. The paper further highlights a
            few notable recent initiatives in both industrial and
            developing countries that embrace such directions for
            reform. The paper concludes that results-based
            intergovernmental finance offers significant potential to
            minimize tradeoffs between local autonomy and accountability
            while furthering access to merit goods.",,,,,,,,,,,,,,
